ghi,ebh,dni,dhi,cloud_opacity,pv_estimate
129,17,73,112,42,0.788
87,11,63,76,41,0.465
55,10,61,44,26,0.213
20,6,32,13,0,0.062
1,1,3,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,19,0
0,0,0,0,21,0
0,0,0,0,0,0
0,0,0,0,24,0
0,0,0,0,23,0
0,0,0,0,23,0
0,0,0,0,24,0
0,0,0,0,21,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,48,0
6,1,3,5,40,0.025
32,5,32,26,45,0.127
85,17,98,68,31,0.37
123,20,88,103,37,0.694
151,20,69,131,43,0.957
189,44,130,145,42,1.022
251,84,227,167,33,1.111
221,25,63,196,46,1.564
210,22,53,187,52,1.51
180,15,35,165,60,1.317
204,16,38,189,54,1.534
128,6,15,122,70,0.927
246,51,134,195,37,1.445
172,12,36,160,50,1.263
132,8,27,125,54,0.947
67,1,7,65,69,0.393
41,1,8,40,71,0.207
41,3,19,37,45,0.188
4,0,0,4,70,0.021
1,0,0,1,57,0
0,0,0,0,53,0
0,0,0,0,45,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,70,0
0,0,0,0,70,0
0,0,0,0,70,0
0,0,0,0,70,0
0,0,0,0,48,0
0,0,0,0,67,0
0,0,0,0,37,0
0,0,0,0,37,0
0,0,0,0,39,0
0,0,0,0,36,0
0,0,0,0,36,0
0,0,0,0,51,0
0,0,0,0,19,0
0,0,0,0,22,0
0,0,0,0,22,0
0,0,0,0,22,0
0,0,0,0,22,0
0,0,0,0,22,0
0,0,0,0,50,0
0,0,0,0,50,0
0,0,0,0,49,0
0,0,0,0,48,0
0,0,0,0,50,0
6,1,3,5,50,0.025
40,12,72,28,21,0.124
78,15,88,63,35,0.328
89,15,69,74,55,0.434
156,23,85,132,39,0.944
127,7,22,119,60,0.872
169,10,28,158,54,1.225
138,3,8,134,66,1.024
153,4,11,148,64,1.155
173,8,19,164,60,1.296
214,21,50,192,51,1.527
274,76,187,198,34,1.44
338,200,527,137,12,0.57
315,204,580,110,7,0.363
235,109,372,126,17,0.649
82,3,12,79,62,0.519
84,8,48,75,42,0.464
50,16,92,34,27,0.154
18,5,29,13,0,0.063
1,1,3,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
